obsUnitId,collectionDate,NDVI,SPAD,plot_maxheight_cm,plot_maxwidth_cm
TTADDA_NARO_2023_F1P8,2023-07-19,0.82,,,
TTADDA_NARO_2023_F1P8,2023-07-22,,,45.0,65.0
TTADDA_NARO_2023_F1P8,2023-07-24,0.74,35.55,,
TTADDA_NARO_2023_F1P8,2023-07-29,,,47.5,67.5
TTADDA_NARO_2023_F1P8,2023-08-01,0.63,26.075,,
TTADDA_NARO_2023_F1P8,2023-08-05,,,45.0,62.5
TTADDA_NARO_2023_F1P8,2023-08-06,0.51,,,
TTADDA_NARO_2023_F1P8,2023-08-09,,22.65,,
TTADDA_NARO_2023_F1P8,2023-08-12,0.595,,44.0,55.0
TTADDA_NARO_2023_F1P8,2023-08-15,,20.85,,
TTADDA_NARO_2023_F1P8,2023-08-19,0.38,,39.0,20.0
TTADDA_NARO_2023_F1P8,2023-08-22,,6.75,,
TTADDA_NARO_2023_F1P8,2023-08-27,,,0.0,0.0
TTADDA_NARO_2023_F1P8,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P8,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P8,2023-09-11,,,,
TTADDA_NARO_2023_F1P9,2023-06-06,,,3.33333333333333,14.0
TTADDA_NARO_2023_F1P9,2023-06-07,0.235,,,
TTADDA_NARO_2023_F1P9,2023-06-11,,,5.75,28.25
TTADDA_NARO_2023_F1P9,2023-06-12,0.36,52.875,,
TTADDA_NARO_2023_F1P9,2023-06-17,,,20.0,44.75
TTADDA_NARO_2023_F1P9,2023-06-19,0.55,,,
TTADDA_NARO_2023_F1P9,2023-06-20,,52.925,,
TTADDA_NARO_2023_F1P9,2023-06-24,,,27.25,53.25
TTADDA_NARO_2023_F1P9,2023-06-26,0.64,,,
TTADDA_NARO_2023_F1P9,2023-06-27,,52.0,,
TTADDA_NARO_2023_F1P9,2023-07-02,,,41.5,67.5
TTADDA_NARO_2023_F1P9,2023-07-04,0.8,48.425,,
TTADDA_NARO_2023_F1P9,2023-07-08,,,47.25,68.75
TTADDA_NARO_2023_F1P9,2023-07-09,0.795,,,
TTADDA_NARO_2023_F1P9,2023-07-11,,42.85,,
TTADDA_NARO_2023_F1P9,2023-07-16,,,49.75,78.75
TTADDA_NARO_2023_F1P9,2023-07-18,,39.65,,
TTADDA_NARO_2023_F1P9,2023-07-19,0.87,,,
TTADDA_NARO_2023_F1P9,2023-07-22,,,50.0,77.5
TTADDA_NARO_2023_F1P9,2023-07-24,0.865,36.0,,
TTADDA_NARO_2023_F1P9,2023-07-29,,,55.0,80.0
TTADDA_NARO_2023_F1P9,2023-08-01,0.77,33.75,,
TTADDA_NARO_2023_F1P9,2023-08-05,,,47.5,77.5
TTADDA_NARO_2023_F1P9,2023-08-06,0.675,,,
TTADDA_NARO_2023_F1P9,2023-08-09,,25.25,,
TTADDA_NARO_2023_F1P9,2023-08-12,0.63,,55.0,60.0
TTADDA_NARO_2023_F1P9,2023-08-15,,22.55,,
TTADDA_NARO_2023_F1P9,2023-08-19,0.34,,52.5,35.0
TTADDA_NARO_2023_F1P9,2023-08-22,,16.125,,
TTADDA_NARO_2023_F1P9,2023-08-27,0.225,,0.0,0.0
TTADDA_NARO_2023_F1P9,2023-08-29,,5.675,,
TTADDA_NARO_2023_F1P9,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P9,2023-09-11,,,,
TTADDA_NARO_2023_F1P10,2023-06-06,,,4.33333333333333,23.0
TTADDA_NARO_2023_F1P10,2023-06-07,0.22,,,
TTADDA_NARO_2023_F1P10,2023-06-11,,,7.33333333333333,25.6666666666667
TTADDA_NARO_2023_F1P10,2023-06-12,0.405,55.65,,
TTADDA_NARO_2023_F1P10,2023-06-17,,,21.0,46.25
TTADDA_NARO_2023_F1P10,2023-06-19,0.54,,,
TTADDA_NARO_2023_F1P10,2023-06-20,,50.325,,
TTADDA_NARO_2023_F1P10,2023-06-24,,,31.0,56.0
TTADDA_NARO_2023_F1P10,2023-06-26,0.515,,,
TTADDA_NARO_2023_F1P10,2023-06-27,,54.55,,
TTADDA_NARO_2023_F1P10,2023-07-02,,,39.0,63.75
TTADDA_NARO_2023_F1P10,2023-07-04,0.8,47.225,,
TTADDA_NARO_2023_F1P10,2023-07-08,,,44.5,66.25
TTADDA_NARO_2023_F1P10,2023-07-09,0.8,,,
TTADDA_NARO_2023_F1P10,2023-07-11,,42.075,,
TTADDA_NARO_2023_F1P10,2023-07-16,,,48.5,72.5
TTADDA_NARO_2023_F1P10,2023-07-18,,41.425,,
TTADDA_NARO_2023_F1P10,2023-07-19,0.88,,,
TTADDA_NARO_2023_F1P10,2023-07-22,,,47.5,70.0
TTADDA_NARO_2023_F1P10,2023-07-24,0.87,38.025,,
TTADDA_NARO_2023_F1P10,2023-07-29,,,52.5,57.5
TTADDA_NARO_2023_F1P10,2023-08-01,0.755,26.375,,
TTADDA_NARO_2023_F1P10,2023-08-05,,,46.5,62.5
TTADDA_NARO_2023_F1P10,2023-08-06,0.69,,,
TTADDA_NARO_2023_F1P10,2023-08-09,,22.9,,
TTADDA_NARO_2023_F1P10,2023-08-12,0.68,,45.0,55.0
TTADDA_NARO_2023_F1P10,2023-08-15,,24.2,,
TTADDA_NARO_2023_F1P10,2023-08-19,0.5,,50.0,27.5
TTADDA_NARO_2023_F1P10,2023-08-22,,9.125,,
TTADDA_NARO_2023_F1P10,2023-08-27,0.2,,0.0,0.0
TTADDA_NARO_2023_F1P10,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P10,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P10,2023-09-11,,,,
TTADDA_NARO_2023_F1P11,2023-06-06,,,3.0,16.0
TTADDA_NARO_2023_F1P11,2023-06-07,0.205,,,
TTADDA_NARO_2023_F1P11,2023-06-11,,,6.25,30.25
TTADDA_NARO_2023_F1P11,2023-06-12,0.42,52.1,,
TTADDA_NARO_2023_F1P11,2023-06-17,,,19.25,40.0
TTADDA_NARO_2023_F1P11,2023-06-19,0.49,,,
TTADDA_NARO_2023_F1P11,2023-06-20,,50.9,,
TTADDA_NARO_2023_F1P11,2023-06-24,,,26.75,50.75
TTADDA_NARO_2023_F1P11,2023-06-26,0.46,,,
TTADDA_NARO_2023_F1P11,2023-06-27,,54.9,,
TTADDA_NARO_2023_F1P11,2023-07-02,,,40.75,66.25
TTADDA_NARO_2023_F1P11,2023-07-04,0.805,48.925,,
TTADDA_NARO_2023_F1P11,2023-07-08,,,51.0,66.25
TTADDA_NARO_2023_F1P11,2023-07-09,0.825,,,
TTADDA_NARO_2023_F1P11,2023-07-11,,43.05,,
TTADDA_NARO_2023_F1P11,2023-07-16,,,52.5,67.5
TTADDA_NARO_2023_F1P11,2023-07-18,,38.6,,
TTADDA_NARO_2023_F1P11,2023-07-19,0.84,,,
TTADDA_NARO_2023_F1P11,2023-07-22,,,55.0,65.0
TTADDA_NARO_2023_F1P11,2023-07-24,0.725,35.0,,
TTADDA_NARO_2023_F1P11,2023-07-29,,,62.5,67.5
TTADDA_NARO_2023_F1P11,2023-08-01,0.665,28.325,,
TTADDA_NARO_2023_F1P11,2023-08-05,,,60.0,70.0
TTADDA_NARO_2023_F1P11,2023-08-06,0.605,,,
TTADDA_NARO_2023_F1P11,2023-08-09,,19.725,,
TTADDA_NARO_2023_F1P11,2023-08-12,0.52,,55.0,67.5
TTADDA_NARO_2023_F1P11,2023-08-15,,12.575,,
TTADDA_NARO_2023_F1P11,2023-08-19,0.285,,27.5,12.5
TTADDA_NARO_2023_F1P11,2023-08-22,,0.0,,
TTADDA_NARO_2023_F1P11,2023-08-27,,,0.0,0.0
TTADDA_NARO_2023_F1P11,2023-08-29,,0.0,,
TTADDA_NARO_2023_F1P11,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P11,2023-09-11,,,,
TTADDA_NARO_2023_F1P12,2023-06-06,,,3.0,19.0
TTADDA_NARO_2023_F1P12,2023-06-07,0.16,,,
TTADDA_NARO_2023_F1P12,2023-06-11,,,7.5,30.5
TTADDA_NARO_2023_F1P12,2023-06-12,0.28,55.425,,
TTADDA_NARO_2023_F1P12,2023-06-17,,,18.0,41.0
TTADDA_NARO_2023_F1P12,2023-06-19,0.45,,,
TTADDA_NARO_2023_F1P12,2023-06-20,,50.525,,
TTADDA_NARO_2023_F1P12,2023-06-24,,,28.5,52.5
TTADDA_NARO_2023_F1P12,2023-06-26,0.6,,,
TTADDA_NARO_2023_F1P12,2023-06-27,,54.65,,
TTADDA_NARO_2023_F1P12,2023-07-02,,,42.25,56.25
TTADDA_NARO_2023_F1P12,2023-07-04,0.78,44.925,,
TTADDA_NARO_2023_F1P12,2023-07-08,,,53.5,60.0
TTADDA_NARO_2023_F1P12,2023-07-09,0.785,,,
TTADDA_NARO_2023_F1P12,2023-07-11,,42.15,,
TTADDA_NARO_2023_F1P12,2023-07-16,,,60.25,60.0
TTADDA_NARO_2023_F1P12,2023-07-18,,34.5,,
TTADDA_NARO_2023_F1P12,2023-07-19,0.85,,,
TTADDA_NARO_2023_F1P12,2023-07-22,,,65.0,62.5
TTADDA_NARO_2023_F1P12,2023-07-24,0.815,27.825,,
TTADDA_NARO_2023_F1P12,2023-07-29,,,67.5,57.5
TTADDA_NARO_2023_F1P12,2023-08-01,0.76,23.6,,
TTADDA_NARO_2023_F1P12,2023-08-05,,,62.5,62.5
TTADDA_NARO_2023_F1P12,2023-08-06,0.72,,,
TTADDA_NARO_2023_F1P12,2023-08-09,,17.375,,
TTADDA_NARO_2023_F1P12,2023-08-12,0.665,,65.0,62.5
TTADDA_NARO_2023_F1P12,2023-08-15,,17.7,,
TTADDA_NARO_2023_F1P12,2023-08-19,0.52,,55.0,52.5
TTADDA_NARO_2023_F1P12,2023-08-22,,15.925,,
TTADDA_NARO_2023_F1P12,2023-08-27,0.32,,30.0,7.5
TTADDA_NARO_2023_F1P12,2023-08-29,,10.1,,
TTADDA_NARO_2023_F1P12,2023-09-04,,,0.0,0.0
TTADDA_NARO_2023_F1P12,2023-09-11,,,,
TTADDA_NARO_2023_F1P13,2023-06-06,,,1.5,12.5
TTADDA_NARO_2023_F1P13,2023-06-07,0.175,,,
TTADDA_NARO_2023_F1P13,2023-06-11,,,4.75,27.25
TTADDA_NARO_2023_F1P13,2023-06-12,0.235,53.45,,
TTADDA_NARO_2023_F1P13,2023-06-17,,,14.75,41.5
TTADDA_NARO_2023_F1P13,2023-06-19,0.505,,,
TTADDA_NARO_2023_F1P13,2023-06-20,,50.025,,
TTADDA_NARO_2023_F1P13,2023-06-24,,,20.75,49.75
TTADDA_NARO_2023_F1P13,2023-06-26,0.46,,,
TTADDA_NARO_2023_F1P13,2023-06-27,,58.375,,
TTADDA_NARO_2023_F1P13,2023-07-02,,,38.5,60.0
TTADDA_NARO_2023_F1P13,2023-07-04,0.73,47.475,,
